City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vung Tau,VN,86.29,overcast clouds,10.346,107.0843,Green hotel
1,Sabang,ID,83.59,broken clouds,5.8933,95.3214,Hotel Citra
3,Rikitea,PF,74.53,clear sky,-23.1203,-134.9692,People ThankYou
7,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
9,Meulaboh,ID,85.8,broken clouds,4.1363,96.1285,Kost Pria
12,Grand Gaube,MU,72.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
14,Ust-Nera,RU,72.18,few clouds,64.5667,143.2,Hotel Ust-Nera
16,Aksu,CN,86.0,light rain,41.1231,80.2644,Pudong Holiday Hotel
18,Alice Springs,AU,65.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
19,Gambela,ET,71.89,light rain,8.25,34.5833,Solomon Debebe Hotel
20,Ribeira Grande,PT,69.94,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
21,Hilo,US,74.25,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
27,Jamestown,US,68.72,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
29,Hithadhoo,MV,81.52,light rain,-0.6,73.0833,Scoop Guest House
32,Jiuquan,CN,79.27,overcast clouds,39.7432,98.5174,Jiuquan Hotel
34,Hirara,JP,86.27,light rain,24.8,125.2833,Hotel Atoll Emerald Miyakojima
35,Namibe,AO,67.5,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
37,Harrison,US,75.27,clear sky,30.4091,-89.0436,Residence Inn by Marriott Gulfport-Biloxi Airport
38,Zhigansk,RU,75.9,broken clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
39,Vernon,CA,75.97,overcast clouds,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
41,Arraial Do Cabo,BR,67.15,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
43,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
46,Kavieng,PG,83.39,light rain,-2.5744,150.7967,Nusa Island Retreat
47,Yenagoa,NG,72.63,moderate rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
49,Soubre,CI,67.57,broken clouds,5.7856,-6.6083,Lynd Hotels Soubre
52,Airai,TL,75.15,broken clouds,-8.9266,125.4092,Juvinal Martin
54,Sungaipenuh,ID,75.51,broken clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
55,Bengkulu,ID,84.63,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
56,Ulladulla,AU,66.87,clear sky,-35.35,150.4667,Sandpiper Motel
57,Victoria,HK,87.85,overcast clouds,22.2855,114.1577,Mini Hotel Central
