City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vung Tau,VN,10.346,107.0843,86.29,71,94,8.75,overcast clouds
1,Sabang,ID,5.8933,95.3214,83.59,74,58,15.17,broken clouds
2,Port Alfred,ZA,-33.5906,26.891,55.17,83,0,4.05,clear sky
3,Rikitea,PF,-23.1203,-134.9692,74.53,76,10,7.92,clear sky
4,Pisco,PE,-13.7,-76.2167,59.05,88,75,2.3,broken clouds
5,Lebu,CL,-37.6167,-73.65,49.53,88,100,6.2,overcast clouds
6,Pimentel,PE,-6.8367,-79.9342,62.01,84,12,3.0,few clouds
7,Bathsheba,BB,13.2167,-59.5167,79.41,83,40,11.5,scattered clouds
8,Horodnytsya,UA,50.807,27.3168,57.9,75,62,9.31,broken clouds
9,Meulaboh,ID,4.1363,96.1285,85.8,65,81,5.5,broken clouds
10,San Cristobal,VE,7.7669,-72.225,63.55,97,49,3.18,scattered clouds
11,Tasiilaq,GL,65.6145,-37.6368,41.16,92,100,1.7,overcast clouds
12,Grand Gaube,MU,-20.0064,57.6608,72.37,68,54,10.0,broken clouds
13,Tsabong,BW,-26.0217,22.401,50.81,28,2,7.54,clear sky
14,Ust-Nera,RU,64.5667,143.2,72.18,37,20,2.95,few clouds
15,Seoul,KR,37.5683,126.9778,90.79,51,0,5.75,clear sky
16,Aksu,CN,41.1231,80.2644,86.0,26,2,2.24,light rain
17,Port Lincoln,AU,-34.7333,135.8667,58.17,57,100,2.3,overcast clouds
18,Alice Springs,AU,-23.7,133.8833,65.75,24,0,10.36,clear sky
19,Gambela,ET,8.25,34.5833,71.89,87,91,2.82,light rain
20,Ribeira Grande,PT,38.5167,-28.7,69.94,68,93,14.36,overcast clouds
21,Hilo,US,19.7297,-155.09,74.25,90,90,6.91,moderate rain
22,Araouane,ML,18.9048,-3.5265,92.07,37,26,12.21,scattered clouds
23,Mataura,NZ,-46.1927,168.8643,43.48,92,99,7.94,overcast clouds
24,Kovur,IN,14.4833,79.9833,95.9,40,61,15.9,broken clouds
25,Sheltozero,RU,61.3667,35.3667,59.92,75,89,15.01,overcast clouds
26,Castro,BR,-24.7911,-50.0119,53.58,95,99,6.46,overcast clouds
27,Jamestown,US,42.097,-79.2353,68.72,93,1,1.01,clear sky
28,Ikongo,MG,-21.8833,47.4333,62.33,82,0,0.94,clear sky
29,Hithadhoo,MV,-0.6,73.0833,81.52,68,99,3.22,light rain
30,Riyadh,SA,24.6877,46.7219,96.94,10,8,6.6,clear sky
31,Ushuaia,AR,-54.8,-68.3,29.86,100,90,5.75,light snow
32,Jiuquan,CN,39.7432,98.5174,79.27,18,100,9.31,overcast clouds
33,Shenkursk,RU,62.1091,42.896,60.26,56,74,8.01,broken clouds
34,Hirara,JP,24.8,125.2833,86.27,84,75,21.85,light rain
35,Namibe,AO,-15.1961,12.1522,67.5,85,0,5.35,clear sky
36,Punta Arenas,CL,-53.15,-70.9167,32.11,86,75,27.63,broken clouds
37,Harrison,US,30.4091,-89.0436,75.27,92,1,0.0,clear sky
38,Zhigansk,RU,66.7697,123.3711,75.9,32,75,11.54,broken clouds
39,Vernon,CA,50.2581,-119.2691,75.97,21,95,5.75,overcast clouds
40,Nuuk,GL,64.1835,-51.7216,47.01,76,75,9.22,broken clouds
41,Arraial Do Cabo,BR,-22.9661,-42.0278,67.15,71,93,14.65,overcast clouds
